FORMAT SAMPLE,Unnamed: 1,Unnamed: 2,100,,nan.1,0.05,nan.2,0.05.1,nan.3,nan.4
GENERAL ENGLISH RESULT - TERM:   01 October 2019 (01 October 2019 - 31 December 2019 )        ,,,,,,,,,,
Room:         Pre Rup                                                                            ,,,,,Level:  Pre-Beginner 1/A,,,,,
Instructor:  Mr. Touch Puthsothea,,,,,Time: 3:30-5:00 PM,,,,,
No.,Sex,ID,Mid-term,,Final,,C.P.  10%,Total,Grade,Remark
,,,Foundations-1 (45%),,Foundations-1 (45%),,,,,
1,M,12514,36,0.16200162001620017,39,0.17550175501755017,0.02,0.35750337503375035,F,
2,M,12529,73,0.3285032850328503,63,0.2835028350283503,0.03,0.6420061200612006,C,
3,F,12531,75,0.33750337503375033,86,0.3870038700387004,0.05,0.7745072450724508,C,
4,F,12349,59,0.2655026550265503,54,0.24300243002430025,0.03,0.5385050850508506,D,
5,M,12487,0,0.0,0,0.0,0,0,F,
6,F,12258,80,0.36000360003600035,68,0.3060030600306003,0.03,0.6960066600666006,C,
7,F,12452,52,0.23400234002340023,55,0.24750247502475026,0,0.48150481504815046,F,
8,M,12415,47,0.2115021150211502,0,0.0,0,0.2115021150211502,F,
9,F,12385,0,0.0,0,0.0,0,0,F,
10,F,12255,59,0.2655026550265503,0,0.0,0,0.2655026550265503,F,
11,F,12527,0,0.0,0,0.0,0,0,F,
12,F,12532,75,0.33750337503375033,81,0.3645036450364504,0.05,0.7520070200702007,C,
13,M,12158,80,0.36000360003600035,89,0.4005040050400504,0.04,0.8005076050760508,B,
14,M,12528,76,0.34200342003420037,69,0.31050310503105033,0.04,0.6925065250652507,C,
15,M,12250,91,0.4095040950409504,76,0.34200342003420037,0.05,0.8015075150751508,B,
16,F,12526,74,0.33300333003330035,82,0.36900369003690037,0.05,0.7520070200702007,C,
17,F,12448,74,0.33300333003330035,76,0.34200342003420037,0,0.6750067500675008,C,
18,M,12445,77,0.34650346503465035,0,0.0,0.04,0.38650346503465033,F,
19,M,09100,85,0.38250382503825037,78,0.35100351003510033,0.02,0.7535073350733508,C,
20,F,12447,60,0.2700027000270003,52,0.23400234002340023,0,0.5040050400504005,D,
21,F,12451,50,0.22500225002250024,0,0.0,0,0.22500225002250024,F,
22,M,11857,61,0.27450274502745026,0,0.0,0,0.27450274502745026,F,
23,M,12186,0,0.0,0,0.0,0,0,F,
"Mid-Term = 45%; Final = 45%, C.P (Class Participation) = 10%, A= 100%-90%, B=89%-80%, C= 79%-65%, D= 64%-50%, F= Under 50%",,,,,,,,,,
,,,,,,,, ,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
