FORMAT SAMPLE,Unnamed: 1,Unnamed: 2,100,0.22500225002250024,100.1,0.22500225002250024.1,100.2,0.22500225002250024.2,0.05,100.3,0.22500225002250024.3,0.05.1,1.000009000090001,100.4,
GENERAL ENGLISH RESULT - TERM: 8th-December-2010 (8th December 2010 - 4th March 2011),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Room:         Bakheng                                                                                            Level:  GESL-1A,,,,,,,,,,,,,,,
Instructors: Ms.Kong Sanratana   &   Mr. Tong Dra                                      Time:   3:30-5:00 PM,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
5,7,12,8,11.0,8,11.0,8,11.0,7,8,11.0,7,14,14,28.5
No.,Sex,ID,Mid-term (45%),,,,Final (45%),,,,,,Total,Grade,Deduction and give reason
,,,Main Street,,Spectrum,,Main Street,,C.P.5%,Spectrum,,C.P.5%,,,
1,M,01953,80,0.18000180001800017,76,0.17100171001710018,,0.0,,,0.0,,0.35100351003510033,F,
2,F,01823,90,0.2025020250202502,72,0.16200162001620017,,0.0,,,0.0,,0.3645036450364504,F,
3,M,01764,89,0.2002520025200252,87,0.1957519575195752,,0.0,,,0.0,,0.39600396003960037,F,
4,M,01804,67,0.15075150751507516,72,0.16200162001620017,,0.0,,,0.0,,0.3127531275312753,F,
5,F,01280,42,0.0945009450094501,54,0.12150121501215012,,0.0,,,0.0,,0.21600216002160022,F,
6,M,01770,71,0.15975159751597517,51,0.11475114751147511,,0.0,,,0.0,,0.2745027450274503,F,
7,F,01784,76,0.17100171001710018,50,0.11250112501125012,,0.0,,,0.0,,0.2835028350283503,F,
8,F,01279,80,0.18000180001800017,63,0.14175141751417514,,0.0,,,0.0,,0.32175321753217534,F,
9,M,01791,85,0.19125191251912518,67,0.15075150751507516,,0.0,,,0.0,,0.34200342003420037,F,
10,F,00802,71,0.15975159751597517,54,0.12150121501215012,,0.0,,,0.0,,0.2812528125281253,F,
11,M,01741,88,0.1980019800198002,65,0.14625146251462515,,0.0,,,0.0,,0.34425344253442536,F,
12,M,01790,92,0.2070020700207002,70,0.15750157501575016,,0.0,,,0.0,,0.3645036450364504,F,
,,,,,,,,,,,,,,,
Mid-Term = 45%; Final = 45%,,,,,,,,,,,,,,,
C.P (Class Participation) = 10%,,,,,,,,,,,,,,,
"A= 100%-90%, B=89%-80%, C= 79%-65%, D= 64%-50%, F= Under 50%",,,,,,,,,,,,,,,
