ELEM,Mike,Tim,Les,DO THIS ONE,PRE,Mike.1,Tim.1,Les.1,DO THIS ONE.1,INTER,Mike.2,Tim.2,Les.2,DO THIS ONE.2,UPPER,Mike.3,Tim.3,Les.3,DO THIS ONE.3
1.0,,,,o,1.0,,,,o,1.0,,,,o,1.0,,,,o
2.0,,x,,o,2.0,,x,,o,2.0,x,,,o,2.0,x,x,x,
3.0,x,,,o,3.0,,,,o,3.0,,,,o,3.0,,,,o
4.0,,,,o,4.0,,,,o,4.0,,,,o,4.0,x,,x,
5.0,x,,,,5.0,x,,x,,5.0,x,,x,,5.0,,,,o
6.0,,,,o,6.0,,,,o,6.0,,x,,o,6.0,,,,o
7.0,,x,x,,7.0,x,x,,o,7.0,x,,,,7.0,,x,,o
8.0,x,,,o,8.0,,,,o,8.0,,x,,o,8.0,,,,o
9.0,,,,o,9.0,x,x,x,,9.0,,x,,o,9.0,x,x,x,
10.0,,x,,,10.0,,,,o,10.0,x,,x,,10.0,,,,o
11.0,,,x,o,11.0,,,x,,11.0,,x,,,11.0,,,,o
12.0,,,,o,12.0,x,x,,,12.0,x,,x,,12.0,,,,o
13.0,x,x,x,,13.0,,,x,o,13.0,,x,,o,,,,,
14.0,,x,x,,14.0,,x,,,14.0,,,x,o,,,,,
,,,,9,,,,,9,,,,,9,,,,,9
