GENERAL ENGLISH RESULT - TERM: 8th-December-2010,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,,,,,
Room:       Banteay Srey                                                                       Level:  Pre-Beginner/1B,,,,,,,,,,
Instructor: Mr. Loeung Sophat                                                               Time: 3:30-5:00 PM,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
4,7,12,8,12.0,8,12.0,8,12,12,19
No.,Sex,ID,Mid-term,,Final,,C.P.  10%,Total,Grade,Other
,,,Foundations-1 (45%),,Foundations-1 (45%),,,,,
1,F,01855,79,0.35550355503555037,,0.0,,0,F,
2,F,01944,75,0.33750337503375033,,0.0,,0,F,
3,M,01904,55,0.24750247502475026,,0.0,,0,F,
4,M,01936,0,0.0,,0.0,,0,F,
5,M,01880,68,0.3060030600306003,,0.0,,0.3060030600306003,F,
6,F,01782,84,0.3780037800378004,,0.0,,0.3780037800378004,F,
7,M,01881,73,0.3285032850328503,,0.0,,0.3285032850328503,F,
8,F,01760,72,0.32400324003240033,,0.0,,0.32400324003240033,F,
9,M,01889,65,0.2925029250292503,,0.0,,0.2925029250292503,F,
10,M,01874,54,0.24300243002430025,,0.0,,0.24300243002430025,F,
11,M,01781,80,0.36000360003600035,,0.0,,0.36000360003600035,F,
12,M,01922,83,0.37350373503735035,,0.0,,0.37350373503735035,F,
13,F,01882,66,0.2970029700297003,,0.0,,0.2970029700297003,F,
14,M,01808,76,0.34200342003420037,,0.0,,0.34200342003420037,F,
,,,,,,,,,,
Mid-Term = 45%; Final = 45%,,,,,,,,,,
C.P (Class Participation) = 10%,,,,,,,,,,
"A= 100%-90%, B=89%-80%, C= 79%-65%, D= 64%-50%, F= Under 50%",,,,,,,,,,
