FORMAT SAMPLE,Unnamed: 1,Unnamed: 2,100,0.22500225002250024,100.1,0.22500225002250024.1,100.2,0.22500225002250024.2,0.05,100.3,0.22500225002250024.3,0.05.1,1.000009000090001,100.4,0.05.2,,nan.1
ENGLISH FOR HIGH SCHOOL RESULT - TERM:  01 October 2019 ( 01 October 2019 - 31 December 2019 ) ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Room:          Prasat Chao Sreyvibol                                                                                          ,,,,,,,,Level :  EHSS-1A,,,,,,,,,
Instructors: Ms. Yan Soklin & Ms. Veng Yura                                              ,,,,,,,,Time: 6:00-7:30 PM,,,,,,,,,
,,,,,,,,,,,,,,,,,
No.,Gender,ID,Mid-term (45%),,,,Final (45%),,,,,,Total,Grade,Deduction and give reason,,
,,,Ventures Basic A,,Project 1A,,Ventures Basic A,,C.P.5%,Project 1A,,C.P.5%,,,,,
1,F,11763,94,0.2115021150211502,95,0.2137521375213752,92,0.2070020700207002,0.05,95,0.2137521375213752,0.05,0.9460084600846009,A,,,
2,F,12180,86,0.1935019350193502,91,0.2047520475204752,96,0.21600216002160022,0,78,0.17550175501755017,0.05,0.8397578975789758,B,,,
3,F,11700,87,0.1957519575195752,78,0.17550175501755017,81,0.1822518225182252,0.05,80,0.18000180001800017,0.05,0.8335073350733507,B,,,
4,M,11694,95,0.2137521375213752,97,0.2182521825218252,95,0.2137521375213752,0.04,94,0.2115021150211502,0.05,0.9472585725857259,A,,,
5,F,12307,87,0.1957519575195752,87,0.1957519575195752,96,0.21600216002160022,0.05,94,0.2115021150211502,0.05,0.9190081900819008,A,,,
6,F,12466,97,0.2182521825218252,85,0.19125191251912518,89,0.2002520025200252,0.03,78,0.17550175501755017,0.05,0.8652578525785257,B,,,
7,M,11312,32,0.07200072000720008,61,0.13725137251372513,0,0,0,0,0.0,0,0.2092520925209252,F,,,
8,F,11717,88,0.1980019800198002,86,0.1935019350193502,85,0.19125191251912518,0.05,84,0.1890018900189002,0.05,0.8717577175771758,B,,,
9,F,12012,97,0.2182521825218252,93,0.20925209252092522,95,0.2137521375213752,0.05,91,0.2047520475204752,0.05,0.9460084600846008,A,,,
10,M,12491,94,0.2115021150211502,95,0.2137521375213752,0,0,0,0,0.0,0,0.4252542525425254,F,,,
11,F,11621,93,0.20925209252092522,88,0.1980019800198002,80,0.18000180001800017,0.03,80,0.18000180001800017,0.05,0.8472576725767258,B,,,
12,F,12380,94,0.2115021150211502,96,0.21600216002160022,86,0.1935019350193502,0.04,83,0.18675186751867517,0.05,0.8977580775807759,B,,,
13,M,12517,84,0.1890018900189002,82,0.18450184501845018,88,0.1980019800198002,0.05,91,0.2047520475204752,0.05,0.8762577625776259,B,,,
14,M,11713,94,0.2115021150211502,87,0.1957519575195752,86,0.1935019350193502,0.02,87,0.1957519575195752,0.03,0.8465079650796508,B,,,
15,M,11714,78,0.17550175501755017,92,0.2070020700207002,76,0.17100171001710018,0.02,82,0.18450184501845018,0.03,0.7880073800738008,C,,,
16,M,12289,95,0.2137521375213752,95,0.2137521375213752,91,0.2047520475204752,0.05,97,0.2182521825218252,0.05,0.9505085050850508,A,,,
17,F,10886,30,0.06750067500675007,31,0.06975069750697507,34,0.07650076500765007,0,29,0.06525065250652506,0,0.2790027900279003,F,,,
18,M,11886,83,0.18675186751867517,85,0.19125191251912518,82,0.18450184501845018,0.02,83,0.18675186751867517,0.04,0.8092574925749256,B,,,
19,M,12458,97,0.2182521825218252,94,0.2115021150211502,89,0.2002520025200252,0.05,95,0.2137521375213752,0.05,0.9437584375843758,A,,,
"Mid-Term = 45% ;    Final = 45%,          C.P. (Class Participation) = 10%,       A= 100%-90%, B=89%-80%, C= 79%-65%, D= 64%-50%, F= Under 50%  ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ENGLISH FOR HIGH SCHOOL RESULT - TERM:  01 October 2019 ( 01 October 2019 - 31 December 2019 ) ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Room:        Phnom Krom                                                                                     ,,,,,,,,Level :  EHSS-1B,,,,,,,,,
Instructors: Ms. Veng Yura & Ms. Yan Soklin,,,,,,,,Time: 6:00-7:30 PM,,,,,,,,,
,,,,,,,,,,,,,,,,,
No.,Gender,ID,Mid-term (45%),,,,Final (45%),,,,,,Total,Grade,Deduction and give reason,,
,,,Ventures Basic A,,Project 1A,,Ventures Basic A,,C.P.5%,Project 1A,,C.P.5%,,,,,
1,M,11666,89,0.2002520025200252,93,0.20925209252092522,89,0.2002520025200252,0.04,80,0.18000180001800017,0.03,0.8597578975789758,B,,,
2,M,11617,93,0.20925209252092522,83,0.18675186751867517,86,0.1935019350193502,0.03,74,0.16650166501665017,0.02,0.8060075600756008,B,,,
3,F,11706,54,0.12150121501215012,74,0.16650166501665017,0,0,0,0,0.0,0,0.2880028800288003,F,,,
4,F,12288,99,0.22275222752227522,98,0.22050220502205023,94,0.2115021150211502,0.05,87,0.1957519575195752,0.05,0.9505085050850508,A,,,
5,M,10245,92,0.2070020700207002,90,0.2025020250202502,87,0.1957519575195752,0.02,67,0.15075150751507516,0.03,0.8060075600756007,B,,,
6,M,11801,97,0.2182521825218252,98,0.22050220502205023,83,0.18675186751867517,0.03,92,0.2070020700207002,0.04,0.9025083250832509,A,,,
7,M,11863,97,0.2182521825218252,98,0.22050220502205023,95,0.2137521375213752,0.04,98,0.22050220502205023,0.03,0.9430087300873008,A,,,
8,F,11695,98,0.22050220502205023,88,0.1980019800198002,94,0.2115021150211502,0.05,93,0.20925209252092522,0.03,0.9192583925839258,A,,,
9,F,11773,98,0.22050220502205023,96,0.21600216002160022,91,0.2047520475204752,0.05,96,0.21600216002160022,0.04,0.9472585725857259,A,,,
10,F,12254,90,0.2025020250202502,98,0.22050220502205023,92,0.2070020700207002,0.05,92,0.2070020700207002,0.05,0.9370083700837007,A,,,
11,F,11869,78,0.17550175501755017,94,0.2115021150211502,0,0,0,0,0.0,0,0.3870038700387004,F,,,
12,M,12267,98,0.22050220502205023,97,0.2182521825218252,91,0.2047520475204752,0.05,96,0.21600216002160022,0.05,0.9595085950859509,A,,,
13,F,12496,98,0.22050220502205023,100,0.22500225002250024,94,0.2115021150211502,0.05,96,0.21600216002160022,0.05,0.9730087300873009,A,,,
14,M,12311,96,0.21600216002160022,95,0.2137521375213752,92,0.2070020700207002,0.04,94,0.2115021150211502,0.03,0.9182584825848258,A,,,
15,M,12159,94,0.2115021150211502,87,0.1957519575195752,91,0.2047520475204752,0.05,81,0.1822518225182252,0.04,0.8842579425794259,B,,,
16,F,12276,98,0.22050220502205023,96,0.21600216002160022,91,0.2047520475204752,0.05,94,0.2115021150211502,0.05,0.9527585275852759,A,,,
17,F,11789,92,0.2070020700207002,81,0.1822518225182252,87,0.1957519575195752,0.05,78,0.17550175501755017,0.04,0.8505076050760507,B,,,
18,F,12470,87,0.1957519575195752,96,0.21600216002160022,69,0.15525155251552517,0.04,88,0.1980019800198002,0.04,0.8450076500765008,B,,,
19,M,12489,89,0.2002520025200252,97,0.2182521825218252,76,0.17100171001710018,0.04,77,0.17325173251732517,0.03,0.8327576275762758,B,,,
20,M,11709,96,0.21600216002160022,94,0.2115021150211502,92,0.2070020700207002,0.05,82,0.18450184501845018,0.05,0.9190081900819008,A,,,
21,M,11771,98,0.22050220502205023,87,0.1957519575195752,72,0.16200162001620017,0.03,81,0.1822518225182252,0.03,0.8205076050760507,B,,,
22,M,11859,95,0.2137521375213752,96,0.21600216002160022,90,0.2025020250202502,0.03,90,0.2025020250202502,0.03,0.8947583475834758,B,,,
"Mid-Term = 45% ;    Final = 45%,          C.P. (Class Participation) = 10%,       A= 100%-90%, B=89%-80%, C= 79%-65%, D= 64%-50%, F= Under 50%  ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
