ENGLISH FOR HIGH SCHOOL RESULT - TERM:  9th-March-2011 (9th March 2011 - 10th June 2011),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,,,,,,,,,,,,,,,
Room:         Tasom                                                                                                                 Level :  EHSS-7,,,,,,,,,,,,,,,,,,,
"Instructors: Mr. Curtis Lindsey,   Mr. Eng Davuth,   &   Mr. Sok Sovantha                       Time: 6:00-7:30 PM",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
3,5,11,5,4.0,5,7.0,5,7.0,5,4.0,5,7.0,5,5,7.0,5,11,11,15
No.,Sex,ID,Mid-Term,,,,,,Final Exam(45%),,,,,,,,Total,Grade,"Deduction and
 give reason "
,,,,,,,,,,,,,,,,,,,
,,,Computer-5%,,Vocabulary-20%,,Communication-20%,,Computer-5%,,Vocabulary-20%,,CP 5%,Communication-20%,,CP 5%,,,
1,M,00166,,0.0,50,0.1,56,0.112,,0.0,,0.0,,,0.0,,0.21200000000000002,F,make-up Gramm.
2,F,00363,,0.0,84,0.168,74,0.148,,0.0,,0.0,,,0.0,,0.316,F,
3,M,00393,,0.0,79,0.158,75,0.15,,0.0,,0.0,,,0.0,,0.308,F,
4,M,00993,,0.0,88,0.176,67,0.134,,0.0,,0.0,,,0.0,,0.31,F,
5,F,01530,,0.0,85,0.17,92,0.184,,0.0,,0.0,,,0.0,,0.354,F,
6,M,01504,,0.0,83,0.166,68,0.136,,0.0,,0.0,,,0.0,,0.30200000000000005,F,
7,M,00068,,0.0,70,0.14,53,0.106,,0.0,,0.0,,,0.0,,0.246,F,
8,M,01101,,0.0,88,0.176,79,0.158,,0.0,,0.0,,,0.0,,0.33399999999999996,F,
9,F,00096,,0.0,89,0.178,83,0.166,,0.0,,0.0,,,0.0,,0.344,F,
10,F,00447,,0.0,82,0.164,65,0.13,,0.0,,0.0,,,0.0,,0.29400000000000004,F,
11,F,00427,,0.0,76,0.152,69,0.138,,0.0,,0.0,,,0.0,,0.29000000000000004,F,make-up Comm.
12,M,00992,,0.0,83,0.166,85,0.17,,0.0,,0.0,,,0.0,,0.336,F,
13,M,00390,,0.0,83,0.166,65,0.13,,0.0,,0.0,,,0.0,,0.29600000000000004,F,
14,M,00731,,0.0,91,0.182,88,0.176,,0.0,,0.0,,,0.0,,0.358,F,
15,F,00362,,0.0,82,0.164,91,0.182,,0.0,,0.0,,,0.0,,0.346,F,
16,F,00858,,0.0,90,0.18,66,0.132,,0.0,,0.0,,,0.0,,0.312,F,
17,M,00673,,0.0,82,0.164,71,0.142,,0.0,,0.0,,,0.0,,0.306,F,
18,F,00324,,0.0,61,0.122,69,0.138,,0.0,,0.0,,,0.0,,0.26,F,
Mid-Term = 45% ;    Final = 45%,,,,,,,,,,,,,,,,,,,
C.P. (Class Participation) = 10%,,,,,,,,,,,,,,,,,,,
"A= 100%-90%,   B=89%-80%,   C= 79%-65%,   D= 64%-50%,   F= Under 50%",,,,,,,,,,,,,,,,,,,
